"OBJECTID","Season_longshort","DEM_IA","TPI_IA","Slope_IA","d2water_IA","d2edge_IA","d2Landfills_IA","d2Feedlots_IA","d2streets","d2nestsV2_IA","northness","month_factor","risk_class","risk_name","validation_set"
1726973,"Dispersal/migration",252.97,2.12,5.85,254.66,10.39,3724.43,5475.14,41.84,568.98,0.130423708738146,"Nov",2,"High","Train"
436300,"Dispersal/migration",341.87,1.52,6.38,5709.55,-120.95,5656.99,1503.14,518.57,25190.72,-0.158532000644198,"Dec",1,"Moderate","Train"
1782952,"Local movements",193.8,-0.15,0.19,249.72,188.97,13454.99,8746.84,137.61,3531.88,-0.935334586120739,"Jan",0,"Low","Train"
1782562,"Local movements",201.83,0.07,0.45,194.16,199.19,2168.79,5893.61,454.71,5727.17,-0.876817890394281,"Jan",2,"High","Test"
1330858,"Local movements",383.71,0.43,5,31.44,-5.17,27749.62,2726.8,466.34,498.92,0.587212716720073,"Sep",2,"High","Train"
1207482,"Local movements",339.64,0.29,1.96,8750.06,101.85,26656.27,827.97,514.48,550.34,-0.697848325003564,"Jun",0,"Low","Train"
1886455,"Local movements",179.55,-0.07,0.18,112.42,-19.47,21424.98,7576.78,392.86,366.59,-0.513452812303959,"Feb",2,"High","Train"
509570,"Dispersal/migration",371.44,0.36,2.68,5749.66,829.9,23001.04,1528.5,282.1,9264.67,-0.801143615546934,"Oct",2,"High","Test"
1206317,"Local movements",351.66,-2.86,6.06,5763.38,-35.54,15794.61,1021.98,671.05,5245.18,-0.999262528532721,"Jun",1,"Moderate","Train"
1177833,"Dispersal/migration",274.67,-3.61,14.51,5122.12,-11.27,21546.93,5807.51,89.18,7527.9,0.0974560885884857,"Dec",2,"High","Test"
2742396,"Local movements",264.52,1.09,6.67,1654.42,9.42,4661.32,9540.74,233.84,3263.15,-0.916484813348769,"Sep",2,"High","Train"
489883,"Local movements",169.66,-0.17,1.16,202.68,-5.93,2096.1,5125.22,111.38,11743.7,-0.673699635594561,"Sep",2,"High","Train"
1585799,"Local movements",319.17,1.16,2.86,1857.92,48.99,28368.17,3890.49,582.12,3444.81,0.480124229028534,"Oct",2,"High","Train"
86176,"Local movements",196.21,-0.48,1.72,2011.26,34.44,7942.4,1683.51,110.59,10083.23,-0.784809686924768,"Apr",0,"Low","Train"
2348126,"Local movements",311.99,-0.79,1.88,2497.18,366.49,13187.01,3030.87,83.97,9426.55,0.235381442954451,"Apr",2,"High","Train"
2324010,"Local movements",226.71,0.15,0.42,53.56,63.16,5970.93,7806.43,725.31,885.23,-0.407033206659266,"Apr",2,"High","Train"
854164,"Local movements",164.76,-0.07,0.24,87.53,-101.22,4057.78,4555.14,927.9,5568.75,-0.991767098339465,"Mar",2,"High","Train"
1113514,"Local movements",229.1,-0.15,0.67,12.91,10.67,9433.57,1625.7,474.92,378.3,0.459658846346532,"Apr",0,"Low","Test"
2320150,"Local movements",288.46,0.14,2.26,127.99,1.09,11420.76,2146.28,320.11,8903.37,-0.946557231763177,"Apr",0,"Low","Train"
2401828,"Local movements",222.74,3.94,26.66,539.19,3.92,30515.21,2516.49,19.32,1876.49,0.796083798549056,"Apr",2,"High","Test"
1969730,"Local movements",325.51,0.33,0.58,3705.06,716.88,14939.86,2488.38,658.12,9902.81,-0.998103772095146,"Mar",0,"Low","Train"
185546,"Local movements",233.54,0.25,0.92,10097.63,661.14,12316.41,1647.77,786.89,11270.35,-0.862000837090063,"Aug",0,"Low","Train"
1378617,"Local movements",180.11,0.12,5.08,281.71,135.63,1942.76,7551.69,33.11,15123.62,-0.945525055614696,"Aug",1,"Moderate","Test"
1356580,"Local movements",232.07,-1.18,3.92,782.34,1.75,16765.04,1881.37,125.75,4578.24,-0.13200259235517,"Oct",2,"High","Train"
1459170,"Dispersal/migration",340.46,0.2,0.78,4356.86,1437.26,11088.8,2351.12,92.61,9028.84,0.531860721374355,"Sep",0,"Low","Test"
2405512,"Local movements",249.72,3.1,15.96,99.27,-13.19,19596.08,5172.87,76.99,1175.92,-0.0192024929016926,"Apr",2,"High","Train"
634700,"Local movements",225.4,0.03,0.18,214.17,-156.7,14099.39,11220.01,641.38,2838.85,-0.991767098339465,"May",1,"Moderate","Train"
1485563,"Local movements",263.98,-0.03,0.25,1.69,21.73,8536.23,5261.58,62.8,2546.91,-0.924302378632464,"Nov",2,"High","Train"
2399900,"Local movements",296.91,1.67,5.76,4880.38,-69.96,48655.23,2372.82,408.38,5641.39,-0.102210174933442,"Apr",0,"Low","Test"
2669277,"Local movements",230.86,-0.07,0.16,714.65,35.47,13155.04,3433.33,282.29,669.21,-0.770231254047307,"May",2,"High","Train"
45809,"Local movements",191.29,-0.76,7.48,449.26,31.54,19066.74,4740.44,110.27,4881.77,-0.932902091033304,"Mar",2,"High","Train"
1838162,"Local movements",230.76,0.88,3.15,2304.38,101.38,30139.5,2015.32,56.91,6372.06,0.209238665891419,"Feb",2,"High","Train"
1738511,"Dispersal/migration",249.67,-0.39,2.68,1757.54,125.2,11218.67,1372.78,51.78,10891.63,-0.397878873789916,"Sep",0,"Low","Train"
735355,"Local movements",348.96,1.86,6.18,3023.33,110.01,14722.38,940.7,45.07,3069.54,0.286715209631956,"Mar",2,"High","Train"
1952679,"Local movements",317.75,0.13,9.15,302.92,8.4,10382.14,4968.3,202.23,2352.75,-0.158532000644198,"Mar",2,"High","Train"
2142097,"Local movements",305.64,-0.02,0.15,249.42,-32.27,11510.07,1194.68,778.94,2475.04,-0.999932805943894,"Mar",2,"High","Train"
2368775,"Local movements",230.79,-0.05,0.08,360.75,212.86,13391.09,4848.92,741.41,1765.69,-0.924302378632464,"Apr",2,"High","Train"
2310422,"Local movements",357.53,0.06,0.32,799.15,301.77,24236.13,2607.08,289.46,1886.5,-0.0223871099574771,"Apr",0,"Low","Train"
1606224,"Fledgling period",239.73,0.57,8.58,79.16,-40.83,14807.98,4803.31,508.16,1560.46,-0.723737878702569,"Sep",2,"High","Train"
740548,"Local movements",285.42,0.86,2.39,57.31,38.53,16525.23,302.63,280.05,2098.44,-0.999964658471342,"Apr",2,"High","Test"
2518663,"Local movements",269.47,-0.48,6.43,5458.71,79.61,18050.26,1069.91,772.64,11176.75,0.819648017845479,"May",0,"Low","Train"
177452,"Fledgling period",180.31,-0.19,0.54,112.85,127.01,23481.53,4932.15,720.93,1086.27,-0.354509065048132,"Aug",1,"Moderate","Test"
1345649,"Local movements",287.14,-0.91,1.85,1077.4,-13.23,10641.72,2077.57,80.1,8028.35,0.176678681496857,"Sep",2,"High","Train"
1934702,"Local movements",312.09,-2.33,10.02,4531.29,3.53,18551.97,470.62,970.67,7196.13,-0.0523650191612259,"Mar",2,"High","Train"
2150572,"Local movements",253.93,1.28,4.23,4108.13,810.45,26192.25,349.68,42.2,8446.38,-0.71203271639831,"Mar",1,"Moderate","Test"
981727,"Local movements",297.66,-0.26,2.36,6595.99,445.21,8787.74,3318.71,132.28,7865.53,-0.56398505756941,"Oct",0,"Low","Test"
1617955,"Fledgling period",264.66,1.32,9.53,187.39,-120.85,16974.86,4209.64,423.04,3028.96,0.264428247964056,"Aug",2,"High","Test"
1514526,"Dispersal/migration",233.79,-1.48,10.11,26.92,14.23,19356.1,1967.22,1298.64,1742.08,-0.148650700271364,"Sep",2,"High","Test"
1466768,"Local movements",162.19,0.23,0.57,73.25,34.47,21620.81,1447.16,145.4,4021.92,-0.969305221502961,"Jul",2,"High","Train"
2495123,"Dispersal/migration",389.97,-1.23,4.58,888.17,127.26,5690.33,3315.59,63.99,7322.65,-0.782831656638065,"May",2,"High","Test"
2332905,"Local movements",232.59,0.01,0.17,238.7,-152.95,12432.78,4332.6,1378.45,4278.74,-0.379451764788155,"Apr",2,"High","Train"
354525,"Local movements",159.6,0.11,0.22,160.92,109.85,9424.31,5438.77,97.14,3273.83,-0.878345007358874,"Sep",0,"Low","Train"
158227,"Local movements",158.89,0.006440707,0.02,0,13.21,10410.72,5000.81,765.68,6790.32,-0.803045865669731,"Sep",2,"High","Test"
1343504,"Local movements",282.23,-0.67,0.88,65.41,-40.02,17754.96,2926.96,277.94,3842.57,-0.490260821340699,"Sep",2,"High","Train"
1496778,"Fledgling period",292.96,0.8,0.63,809.46,52.44,17953.29,1150.9,166.08,1097.72,-0.530511337622945,"Jul",0,"Low","Train"
565250,"Local movements",249.48,-0.73,4.26,8952.23,12.43,18174.01,4915.87,311.31,12196.88,0.441806190305705,"Oct",2,"High","Test"
180602,"Fledgling period",178.26,-0.05,0.09,13.93,37.56,31311.02,6926,1096.08,592.91,-0.998669394237814,"Jul",0,"Low","Test"
637065,"Local movements",260.99,-0.35,1.81,4827.54,1512.6,4544.9,3127.13,178.24,16035.71,-0.808964786630086,"May",0,"Low","Train"
2129881,"Dispersal/migration",303,1.96,3.55,4314.17,151.27,11695.79,4923.61,176.9,5749.07,-0.112152526935055,"Mar",2,"High","Train"
1855617,"Local movements",225.5,-0.87,3.3,10999.9,20.98,3386.22,2587.47,319.53,2306.39,0.48609088628794,"Feb",2,"High","Train"
